sku_original,competidor,marca,categoria,nombre_producto,url_producto,precio_regular,precio_oferta,cuotas,hay_stock
FRA-planchita-alisado-babyliss-pelo-seco-450,Fravega,OTRAS,Pequeños Electrodomésticos,Planchita Alisado Babyliss Pelo Seco 450f + Funda 9559,https://www.fravega.com/p/planchita-alisado-babyliss-pelo-seco-450f-funda-9559-990288320/,199999.0,169999.0,1,True
FRA-limpiadora-a-vapor-portatil-midow-1500w-,Fravega,OTRAS,Pequeños Electrodomésticos,"Limpiadora a Vapor Portátil Midow 1500w 1200ml 1,5 Bar",https://www.fravega.com/p/limpiadora-a-vapor-portatil-midow-1500w-1200ml-1-5-bar-990277263/,119999.0,62999.0,1,True
FRA-pava-electrica-kanji-home-con-corte-mate,Fravega,OTRAS,Pequeños Electrodomésticos,Pava Eléctrica Kanji Home con Corte Mate KJH-PE15002M,https://www.fravega.com/p/pava-electrica-kanji-home-con-corte-mate-kjh-pe15002m--13629/,29999.0,19999.0,1,True
FRA-afeitadora-philips-s1881-00-serie-1000-u,Fravega,PHILIPS,Pequeños Electrodomésticos,Afeitadora Philips S1881/00 Serie 1000 uso en Húmedo y Seco,https://www.fravega.com/p/afeitadora-philips-s1881-00-serie-1000-uso-humedo-y-seco-30625/,81999.0,65599.0,1,True
FRA-yogurtera-ultracomb-yg-2707-13859,Fravega,OTRAS,Pequeños Electrodomésticos,Yogurtera Ultracomb YG-2707,https://www.fravega.com/p/yogurtera-ultracomb-yg-2707-13859/,75099.0,39999.0,1,True
FRA-maquina-gasificadora-sodastream-terra-bl,Fravega,OTRAS,Pequeños Electrodomésticos,Maquina Gasificadora Sodastream Terra Black,https://www.fravega.com/p/maquina-gasificadora-sodastream-terra-black-13724/,126999.0,101599.0,1,True
FRA-cortadora-de-pelo-kanji-beauty-usb-inala,Fravega,OTRAS,Pequeños Electrodomésticos,Cortadora de Pelo Kanji Beauty USB Inalámbrica + 4 Peines,https://www.fravega.com/p/cortadora-de-pelo-kanji-beauty-usb-inalambrica-4-peines-30386/,13999.0,8999.0,1,True
FRA-pava-electrica-electrolux-efficient-2lts,Fravega,OTRAS,Pequeños Electrodomésticos,Pava Eléctrica Electrolux Efficient 2Lts EEK50,https://www.fravega.com/p/pava-electrica-electrolux-efficient-2lts-eek50-14568/,89999.0,79999.0,1,True
FRA-freidora-de-aire-peabody-pe-afd720n-7-2l,Fravega,OTRAS,Pequeños Electrodomésticos,"Freidora De Aire Peabody PE-AFD720N 7,2L",https://www.fravega.com/p/freidora-de-aire-peabody-pe-afd720n-7-2l-13837/,139999.0,99999.0,1,True
FRA-cortabarba-philips-oneblade-qp2824-10-fa,Fravega,PHILIPS,Pequeños Electrodomésticos,Cortabarba Philips Oneblade QP2824/10 Face & Body,https://www.fravega.com/p/cortabarba-philips-oneblade-qp2824-10-face--body-30356/,86299.0,64499.0,1,True
FRA-afeitadora-electrica-inalambrica-philco-,Fravega,PHILCO,Pequeños Electrodomésticos,Afeitadora Eléctrica Inalámbrica Philco AE5105,https://www.fravega.com/p/afeitadora-electrica-inalambrica-philco-ae5105-30464/,54999.0,34999.0,1,True
FRA-multigroom-trimmer-philips-serie-7000-mg,Fravega,PHILIPS,Pequeños Electrodomésticos,Multigroom Trimmer Philips Serie 7000 MG7935/15 16 en 1,https://www.fravega.com/p/multigroom-trimmer-philips-serie-7000-mg7935-15-16-1-30474/,108999.0,81749.0,1,True
FRA-multigroom-all-one-philips-mg3911-15-inc,Fravega,PHILIPS,Pequeños Electrodomésticos,Multigroom All-in-One Philips MG3911/15 incluye 7 accesorios,https://www.fravega.com/p/multigroom-all-one-philips-mg3911-15-incluye-7-accesorios-30397/,51799.0,35999.0,1,True
FRA-licuadora-moulinex-optimix-plus-blender-,Fravega,OTRAS,Pequeños Electrodomésticos,Licuadora Moulinex Optimix Plus Blender LM270558 Rojo,https://www.fravega.com/p/licuadora-moulinex-optimix-plus-blender-lm270558-rojo-180359/,81999.0,34999.0,1,True
