sku_original,competidor,marca,categoria,nombre_producto,url_producto,precio_regular,precio_oferta,cuotas,hay_stock
FRA-aire-acondicionado-noblex-nxs32ha4cn-290,Fravega,NOBLEX,Aires Acondicionados,Aire Acondicionado Noblex NXS32HA4CN 2900F 3400W,https://www.fravega.com/p/aire-acondicionado-noblex-nxs32ha4cn-2900f-3400w-21160/,699999.0,579999.0,1,True
FRA-split-comfee-inverter-r-32-3096-kcal-h-f,Fravega,OTRAS,Aires Acondicionados,Split Comfee Inverter R-32 3096 kCal/h Frío Calor,https://www.fravega.com/p/split-comfee-inverter-r-32-3096-kcal-h-frio-calor-990175069/,1143999.0,945453.72,1,True
FRA-aire-acondicionado-surrey-split-inverter,Fravega,SURREY,Aires Acondicionados,Aire Acondicionado Surrey Split Inverter 3096FC 553NIQ12KN81F,https://www.fravega.com/p/aire-acondicionado-surrey-split-inverter-3096fc-553niq12kn81f-20901/,1099999.0,799999.0,1,True
FRA-caloventor-liliana-cfh420-2000w-130894,Fravega,LILIANA,Aires Acondicionados,Caloventor Liliana CFH420 2000W,https://www.fravega.com/p/caloventor-liliana-cfh420-2000w-130894/,49999.0,39999.0,1,True
FRA-aire-acondicionado-split-tcl-taca-3400w-,Fravega,TCL,Aires Acondicionados,Aire Acondicionado Split TCL TACA-3400W ELITE 2900F 3400W,https://www.fravega.com/p/aire-acondicionado-split-tcl-taca-3400w-elite-2900f-3400w-20946/,799999.0,699999.0,1,True
FRA-aire-acondicionado-siam-split-frio-calor,Fravega,OTRAS,Aires Acondicionados,Aire Acondicionado Siam Split Frío/calor 2365fg SMS25HA4CN,https://www.fravega.com/p/aire-acondicionado-siam-split-frio-calor-2365fg-sms25ha4cn-990251792/,892499.0,524999.0,1,True
FRA-aire-acondicionado-split-frio-calor-phil,Fravega,PHILCO,Aires Acondicionados,Aire Acondicionado Split Frío/Calor Philco 5400F 6300W  PHS60HA4CN,https://www.fravega.com/p/aire-acondicionado-split-frio-calor-philco-5400f-6300w-phs60ha4cn-20644/,1399999.0,1157023.97,1,True
FRA-convector-whitenblack-cnwb06-2000w-negro,Fravega,OTRAS,Aires Acondicionados,Convector Whitenblack CNWB06 2000W Negro,https://www.fravega.com/p/convector-whitenblack-cnwb06-2000w-negro-130981/,73374.0,69999.0,1,True
FRA-calefactor-orbis-sin-salida-4024gon-2700,Fravega,OTRAS,Aires Acondicionados,Calefactor Orbis sin salida 4024GON 2700 kcal/h,https://www.fravega.com/p/calefactor-orbis-sin-salida-4024gon-2700-kcal-h-22743532/,277725.0,177749.0,1,True
FRA-aire-acondicionado-portatil-frio-calor-s,Fravega,OTRAS,Aires Acondicionados,Aire Acondicionado Portátil Frío Calor Sansei SAP26HC9AN,https://www.fravega.com/p/aire-acondicionado-portatil-frio-calor-sansei-sap26hc9an-21122/,699999.0,599999.0,1,True
